ReportingEntityAspect,CalendarPeriodAspect,Concept,FactValue,Units,Rounding,FactID,Sequence
30810137d58f76b84afd | http://xbrlsite.com/id,2024-01-01 | 2024-12-31,gl:EntryAmount,0,iso4217:USD,INF,FACT066cec9f,7
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:CashAndCashEquivalents,10850,iso4217:USD,INF,FACTede45aa0,1
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Receivables,0,iso4217:USD,INF,FACT368ed40a,2
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:PropertyPlantAndEquipment,900,iso4217:USD,INF,FACT95d65830,4
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:Inventories,2700,iso4217:USD,INF,FACT57459f21,3
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:AccountsPayable,1000,iso4217:USD,INF,FACT2d3b5016,5
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:AccruedExpenses,400,iso4217:USD,INF,FACT491741e2,6
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:LongtermDebt,1000,iso4217:USD,INF,FACTf1fa49c4,7
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:PropertyPlantAndEquipment,0,iso4217:USD,INF,FACT8080a2d1,13
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:RetainedEarnings,2050,iso4217:USD,INF,FACT22a5a2b6,9
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:LongtermDebt,0,iso4217:USD,INF,FACT37f35857,16
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Receivables,0,iso4217:USD,INF,FACT5c41bb03,11
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:CheckSum,0,iso4217:USD,INF,FACTe4acb325,10
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/24,mini:PaidInCapital,10000,iso4217:USD,INF,FACT9a48aa90,8
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:AccountsPayable,0,iso4217:USD,INF,FACTeb324185,14
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:Inventories,0,iso4217:USD,INF,FACT386daaf7,12
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:AccruedExpenses,0,iso4217:USD,INF,FACTec99d6fd,15
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:CashAndCashEquivalents,0,iso4217:USD,INF,FACT4a260018,19
30810137d58f76b84afd | http://standards.iso.org/iso/17442,2024-01-01 | 2024-12-31,mini:ProceedsFromAdditionalLongtermBorrowings,2000,iso4217:USD,INF,FACT421365c0,22
30810137d58f76b84afd | http://standards.iso.org/iso/17442,12/31/23,mini:PaidInCapital,0,iso4217:USD,INF,FACT8f1e5071,17
