journal_entry_id,line_num,Amount,PostingType,AccountRef_value,AccountRef_name,Description,DetailType,DepartmentRef_value,DepartmentRef_name,ClassRef_value,ClassRef_name,LocationRef_value,LocationRef_name
1,1,5000.00,Debit,1,Checking,Client payment received,JournalEntryLineDetail,,,,,,
1,2,5000.00,Credit,2,Accounts Receivable,Client payment received,JournalEntryLineDetail,,,,,,
2,1,3500.00,Debit,12,Rent Expense,Monthly rent Jan,JournalEntryLineDetail,,,,,,
2,2,3500.00,Credit,1,Checking,Monthly rent Jan,JournalEntryLineDetail,,,,,,
3,1,8000.00,Debit,2,Accounts Receivable,Consulting project alpha,JournalEntryLineDetail,1,Consulting,,,,
3,2,8000.00,Credit,10,Consulting Revenue,Consulting project alpha,JournalEntryLineDetail,1,Consulting,,,,
4,1,250.00,Debit,13,Office Supplies,Office supplies purchase,JournalEntryLineDetail,,,,,,
4,2,250.00,Credit,6,Credit Card,Office supplies purchase,JournalEntryLineDetail,,,,,,
5,1,4500.00,Debit,2,Accounts Receivable,Software license sale,JournalEntryLineDetail,2,Engineering,,,,
5,2,4500.00,Credit,11,Software Revenue,Software license sale,JournalEntryLineDetail,2,Engineering,,,,
6,1,3500.00,Debit,12,Rent Expense,Monthly rent Feb,JournalEntryLineDetail,,,,,,
6,2,3500.00,Credit,1,Checking,Monthly rent Feb,JournalEntryLineDetail,,,,,,
7,1,150.00,Debit,1,Checking,Bank interest earned,JournalEntryLineDetail,,,,,,
7,2,150.00,Credit,14,Interest Income,Bank interest earned,JournalEntryLineDetail,,,,,,
8,1,500.00,Debit,15,Interest Expense,Loan interest payment,JournalEntryLineDetail,,,,,,
8,2,500.00,Credit,1,Checking,Loan interest payment,JournalEntryLineDetail,,,,,,
9,1,12000.00,Debit,2,Accounts Receivable,Consulting project beta,JournalEntryLineDetail,1,Consulting,,,,
9,2,12000.00,Credit,10,Consulting Revenue,Consulting project beta,JournalEntryLineDetail,1,Consulting,,,,
10,1,3500.00,Debit,12,Rent Expense,Monthly rent Mar,JournalEntryLineDetail,,,,,,
10,2,3500.00,Credit,1,Checking,Monthly rent Mar,JournalEntryLineDetail,,,,,,
11,1,1200.00,Debit,4,Office Equipment,Office equipment purchase,JournalEntryLineDetail,,,,,,
11,2,1200.00,Credit,1,Checking,Office equipment purchase,JournalEntryLineDetail,,,,,,
12,1,6000.00,Debit,2,Accounts Receivable,Software development sale,JournalEntryLineDetail,2,Engineering,,,,
12,2,6000.00,Credit,11,Software Revenue,Software development sale,JournalEntryLineDetail,2,Engineering,,,,
13,1,2000.00,Debit,5,Accounts Payable,Vendor payment,JournalEntryLineDetail,,,,,,
13,2,2000.00,Credit,1,Checking,Vendor payment,JournalEntryLineDetail,,,,,,
14,1,800.00,Debit,6,Credit Card,Credit card payment,JournalEntryLineDetail,,,,,,
14,2,800.00,Credit,1,Checking,Credit card payment,JournalEntryLineDetail,,,,,,
15,1,5000.00,Debit,1,Checking,Owner equity contribution,JournalEntryLineDetail,,,,,,
15,2,5000.00,Credit,8,Owner Equity,Owner equity contribution,JournalEntryLineDetail,,,,,,
